6.283185307179586232e+01,9.859604401089359271e+02
9.421594861907541940e+01,2.221160736796748552e+03
1.413823205367064588e+02,4.997746105847794752e+03
1.178188737208975851e+02,3.588135610069676659e+03
5.680981665555430737e+01,7.912377155444504524e+02
8.696595530972113863e+01,1.963591490149219226e+03
6.213965845535695962e+02,9.690326158924661286e+04
1.135358188036435877e+03,3.233344430605296511e+05
7.893661610510116589e+02,1.563548541644262150e+05
6.214647145324153144e+02,9.688958192169638642e+04
1.077122541380892926e+03,2.895849972514556721e+05
8.853650657747093646e+02,1.964404479916054115e+05
1.527537677498200992e+03,5.823308599938678090e+05
3.057448463544174956e+03,2.338916846648895647e+06
2.459260164538126901e+03,1.510586923757517477e+06
1.994211167640636177e+03,9.929339990677257301e+05
1.600270637318563104e+03,6.417078980837825220e+05
1.135819617078823285e+03,3.236471895901713870e+05
3.597518923175047121e+02,3.199588364291931430e+04
1.939840975267611611e+02,9.545396996616502292e+03
4.375689897712358061e+02,4.820562025575905864e+04
3.405293157743422512e+02,2.866817817244020262e+04
-1.497807687351893264e+02,5.735581347702212042e+03
-1.549886539674499545e+03,6.019047782629312715e+05
-1.150029390072812021e+03,3.304051684591387748e+05
-1.750339880637441183e+03,7.667186604165451135e+05
-1.435437211019845563e+03,5.147353181389160454e+05
-1.190339921996966495e+03,3.538477714981709141e+05
-9.849453517147057937e+02,2.435127316649248241e+05
-4.292050578194523496e+02,4.565515053858844476e+04
-3.062300529091405679e+02,2.374956955733579889e+04
-1.722623366262480431e+02,7.331450818882275598e+03
-1.409048677723479273e+02,4.899336211483615443e+03
-1.157837255187200185e+02,3.299757400151682305e+03
-9.524447325258958585e+01,2.187607608487107427e+03
-6.379498985751798728e+02,1.018749188695101329e+05
-5.300276869931258261e+02,6.981628297411915264e+04
-4.121178079667670318e+02,4.268166640198987443e+04
-3.351657297582707429e+02,2.780448494055852279e+04
-2.559996422440412402e+02,1.663974583402556163e+04
-1.365960640278047435e+02,4.800940400533234424e+03
-7.508615235128826271e+01,1.431630581591186001e+03
-1.169543349530087681e+02,3.495722568105225491e+03
-9.339881500373962808e+01,2.250502894830468904e+03
-2.409129143736014669e+02,1.430808433182616500e+04
-1.838962815973794420e+02,8.271726722397666890e+03
-1.097015186206871817e+02,2.980079698959949837e+03
-9.110948724250431496e+01,2.074535364327939988e+03
-7.593073417301322081e+01,1.402076987503117834e+03
-1.276974371086501492e+02,3.962202683808610800e+03
-9.445229744250572423e+01,2.210167574957919896e+03
-1.434984232213398627e+02,5.269557756080577747e+03
-1.451011728339660067e+03,5.269284090138708707e+05
-2.316276879375602675e+03,1.343131447453902336e+06
-1.791090480814973944e+03,8.013316290989974514e+05
-2.837653654632915277e+03,2.015095744042077567e+06
-2.246146971763958391e+03,1.261087210968132131e+06
-1.870766817091948724e+03,8.768103943936160067e+05
-1.021957799240725649e+03,2.619244910759597260e+05
-7.871160369987087506e+02,1.541092744151832303e+05
-4.835295164463080937e+02,5.858092341960110207e+04
-7.453448302489443904e+02,1.394123082691124582e+05
-5.905073527035502821e+02,8.723978337541903602e+04
-8.896220753281509133e+02,1.983221544898317079e+05
-7.249056166139381503e+02,1.308503863143426570e+05
-5.735618939453083840e+02,8.168368077316234121e+04
-3.749323625325548619e+02,3.547452381589125434e+04
-2.777299542627174560e+02,1.901815026262566607e+04
6.104929112204558805e+01,9.913953393845210940e+02
3.889273980337911496e+01,3.418666486631028647e+02
-3.119518768403682429e+01,2.491630783108105334e+02
-4.775197693380808772e+01,5.974670642627631878e+02
-3.842430107608042533e+01,3.430607068746535333e+02
-7.565639397928416088e+01,1.410721693045276425e+03
-1.158679898433680648e+02,3.313478166031719866e+03
-9.577209850501070321e+01,2.197402878411280653e+03
-4.410535084166061637e+01,4.799219195077994868e+02
-6.632572433848621074e+01,1.121779332362827745e+03
-5.468999753987693424e+01,8.001078366745697394e+02
-3.665963430854048966e+01,3.673312050921874743e+02
-1.471266679129315662e+03,5.399170452831257135e+05
-1.084516129028061187e+04,2.940032257708218321e+07
-1.718871259998940513e+04,7.387794784634047747e+07
-1.284583098507174873e+04,4.125203240253226459e+07
-1.069057100010576687e+04,2.856923700158575177e+07
-8.865198661628892296e+03,1.965118969533424824e+07
-1.401727262458788755e+04,4.912787149876791984e+07
-2.346645929097803310e+04,1.376908554273461103e+08
1.041729634411406005e+04,2.713233793076251820e+07
1.590242604412672154e+04,6.322672909133982658e+07
2.472772635153042211e+04,1.528712432063423395e+08
2.051872450598366777e+04,1.052715871845116168e+08
1.565433918955868285e+04,6.126121246751587838e+07
1.300391426143906392e+04,4.228532024484354258e+07
1.017840752880162472e+04,2.590350973358666524e+07
1.598237586883247059e+04,6.387328454372990131e+07
1.181505939100852447e+04,3.489354933072727919e+07
9.692206205526821577e+03,2.348842499919758365e+07
7.990268902522454482e+03,1.596854286950847134e+07
5.676366137493017050e+03,8.052601961298815906e+06
4.649319204859119054e+03,5.405137093398737721e+06
