Date,VT(e),Ti,Te,RR,I:E,PEEP,PIP,O2,RSD_VT,RSD_RR,RSD_IE,RSD_PEEP,RSD_PIP,RSD_O2
2024-11-22 15:23:56,571.0,1.02,4.04,11.9,1:3.95,5.11,13.16,21.1,6.9,6.2,10.32,1.83,5.29,0.0
2024-11-22 15:24:04,625.0,1.02,4.04,11.9,1:3.97,5.05,14.14,21.1,6.83,6.13,10.21,1.81,5.24,0.0
2024-11-22 15:24:13,679.0,1.02,4.04,11.9,1:3.94,5.25,15.11,21.1,6.92,6.06,10.11,1.88,5.32,0.0
2024-11-22 15:24:21,630.0,1.02,4.04,11.9,1:3.94,5.29,14.16,21.1,6.86,6.0,10.02,1.97,5.27,0.0
2024-11-22 15:24:30,541.0,1.01,4.06,11.8,1:4.02,4.77,12.72,21.1,7.01,5.94,9.92,2.12,5.37,0.0
2024-11-22 15:24:38,525.0,1.03,4.04,11.8,1:3.94,5.16,12.47,21.1,7.24,5.88,9.83,2.12,5.53,0.0
2024-11-22 15:24:47,603.0,1.03,4.04,11.9,1:3.93,5.01,13.84,21.1,7.17,5.82,9.74,2.1,5.47,0.0
2024-11-22 15:24:55,572.0,1.01,4.05,11.8,1:4.01,5.01,13.15,21.1,7.16,5.76,9.65,2.09,5.48,0.0
2024-11-22 15:25:04,612.0,1.01,4.04,11.9,1:3.98,5.03,13.91,21.1,7.09,5.71,9.56,2.07,5.42,0.0
2024-11-22 15:25:12,518.0,1.03,4.04,11.8,1:3.92,5.04,12.39,21.1,7.34,5.65,9.48,2.05,5.58,0.0
2024-11-22 15:25:21,690.0,1.02,4.04,11.9,1:3.94,5.2,15.21,21.1,7.48,5.6,9.4,2.06,5.67,0.0
2024-11-22 15:25:29,628.0,1.02,4.04,11.9,1:3.97,5.14,14.29,21.1,7.42,5.55,9.32,2.06,5.63,0.0
2024-11-22 15:25:38,645.0,1.02,4.04,11.9,1:3.97,5.2,14.53,21.1,7.38,5.5,9.24,2.07,5.61,0.0
2024-11-22 15:25:46,602.0,1.03,4.04,11.8,1:3.94,4.9,13.8,21.1,7.32,5.45,9.17,2.1,5.56,0.0
2024-11-22 15:25:55,664.0,1.03,4.04,11.8,1:3.90,4.77,14.72,21.1,7.34,5.41,9.1,2.21,5.56,0.0
2024-11-22 15:26:03,580.0,1.02,4.04,11.9,1:3.97,5.03,13.28,21.1,7.31,5.36,9.03,2.19,5.55,0.0
2024-11-22 15:26:12,598.0,1.03,4.04,11.8,1:3.93,5.06,13.7,21.1,7.26,5.32,8.96,2.17,5.51,0.0
2024-11-22 15:26:20,657.0,1.02,4.04,11.9,1:3.98,5.21,14.71,21.1,7.25,5.27,8.89,2.19,5.51,0.0
2024-11-22 15:26:29,556.0,1.01,4.04,11.9,1:3.99,5.02,12.99,21.1,7.29,5.23,8.82,2.17,5.53,0.0
2024-11-22 15:26:37,556.0,1.02,4.04,11.9,1:3.94,5.09,12.9,21.1,7.33,5.19,8.76,2.16,5.57,0.0
2024-11-22 15:26:46,626.0,1.02,4.04,11.9,1:3.96,5.24,14.19,21.1,7.28,5.15,8.69,2.19,5.53,0.0
2024-11-22 15:26:54,637.0,1.02,4.04,11.9,1:3.94,5.11,14.28,21.1,7.24,5.11,8.63,2.17,5.49,0.0
2024-11-22 15:27:03,579.0,1.01,4.04,11.9,1:3.98,5.05,13.23,21.1,7.21,5.08,8.57,2.16,5.49,0.0
2024-11-22 15:27:11,580.0,1.02,4.04,11.9,1:3.95,5.19,13.27,21.1,7.19,5.04,8.51,2.16,5.47,0.0
